employee_id,manager_id,attribute_id,attribute_score
292345,490611,2,4
292345,490611,3,3
292345,490611,4,2
810423,335832,1,1
810423,335832,2,3
810423,335832,3,3
810423,335832,4,3
441001,335832,1,2
441001,335832,2,5
441001,335832,3,1
441001,335832,4,4
802836,335832,1,4
802836,335832,2,3
802836,335832,3,5
802836,335832,4,2
631550,335832,1,5
631550,335832,2,3
631550,335832,3,1
631550,335832,4,1
698316,335832,1,1
698316,335832,2,5
698316,335832,3,4
698316,335832,4,4
803678,335832,1,2
803678,335832,2,1
803678,335832,3,4
803678,335832,4,4
652628,435813,1,2
652628,435813,2,3
652628,435813,3,5
652628,435813,4,5
241469,465832,1,3
241469,465832,2,2
241469,465832,3,4
241469,465832,4,2
710481,465832,1,1
710481,465832,2,1
710481,465832,3,1
710481,465832,4,4
508949,465832,1,2
508949,465832,2,3
508949,465832,3,1
508949,465832,4,None
670749,465832,1,3
670749,465832,2,1
670749,465832,3,1
670749,465832,4,3
469323,465832,1,2
469323,465832,2,3
469323,465832,3,2
469323,465832,4,3
860647,465832,1,4
860647,465832,2,1
860647,465832,3,1
860647,465832,4,5
625169,465832,1,3
625169,465832,2,5
625169,465832,3,5
625169,465832,4,1
498751,465832,1,3
498751,465832,2,1
498751,465832,3,4
498751,465832,4,5
543486,435854,1,3
543486,435854,2,1
543486,435854,3,4
543486,435854,4,4
339240,435854,1,1
339240,435854,2,5
339240,435854,3,2
339240,435854,4,2
263716,364302,1,1
263716,364302,2,1
263716,364302,3,1
263716,364302,4,3
122431,364302,1,None
122431,364302,2,2
122431,364302,3,5
122431,364302,4,4
435834,364302,1,3
435834,364302,2,1
435834,364302,3,2
435834,364302,4,1
166573,363715,1,3
166573,363715,2,2
166573,363715,3,2
166573,363715,4,2
114404,263717,1,1
114404,263717,2,1
114404,263717,3,1
114404,263717,4,3
367762,263717,1,5
367762,263717,2,2
367762,263717,3,2
367762,263717,4,2
978101,263717,1,5
978101,263717,2,2
978101,263717,3,3
978101,263717,4,5
357656,263717,1,3
357656,263717,2,1
357656,263717,3,3
357656,263717,4,5
458517,277167,1,5
458517,277167,2,3
458517,277167,3,5
458517,277167,4,2
657175,277167,1,1
657175,277167,2,1
657175,277167,3,3
657175,277167,4,3
244112,277167,1,4
244112,277167,2,4
244112,277167,3,1
244112,277167,4,4
782393,277167,1,1
782393,277167,2,2
782393,277167,3,5
782393,277167,4,5
472707,277167,1,5
472707,277167,2,2
472707,277167,3,4
472707,277167,4,4
374875,674878,1,5
374875,674878,2,5
374875,674878,3,2
374875,674878,4,4
767436,1067439,1,5
767436,1067439,2,2
767436,1067439,3,2
767436,1067439,4,3
147587,344295,1,2
147587,344295,2,2
147587,344295,3,1
147587,344295,4,1
123532,344295,1,3
123532,344295,2,3
123532,344295,3,2
123532,344295,4,2
550026,344295,1,3
550026,344295,2,1
550026,344295,3,3
550026,344295,4,1
335832,343708,1,4
335832,343708,2,3
335832,343708,3,2
335832,343708,4,2
728688,243710,1,3
728688,243710,2,4
728688,243710,3,5
728688,243710,4,5
969371,243710,1,1
969371,243710,2,1
969371,243710,3,3
969371,243710,4,4
581520,243710,1,1
581520,243710,2,3
581520,243710,3,1
581520,243710,4,4
797964,242717,1,3
797964,242717,2,2
797964,242717,3,4
797964,242717,4,5
917480,256167,1,1
917480,256167,2,3
917480,256167,3,3
917480,256167,4,3
388157,256167,1,4
388157,256167,2,1
388157,256167,3,3
388157,256167,4,4
514834,256167,1,5
514834,256167,2,3
514834,256167,3,4
514834,256167,4,2
728416,514835,1,3
728416,514835,2,1
728416,514835,3,3
728416,514835,4,4
664344,514835,1,2
664344,514835,2,1
664344,514835,3,2
664344,514835,4,2
145946,514835,1,5
145946,514835,2,1
145946,514835,3,1
145946,514835,4,3
415947,514835,1,5
415947,514835,2,4
415947,514835,3,2
415947,514835,4,4
876038,514835,1,3
876038,514835,2,4
876038,514835,3,4
876038,514835,4,1
680089,514835,1,1
680089,514835,2,4
680089,514835,3,5
680089,514835,4,1
381287,680083,1,5
381287,680083,2,1
381287,680083,3,1
381287,680083,4,1
847329,680083,1,2
847329,680083,2,5
847329,680083,3,2
847329,680083,4,5
590613,490613,1,4
590613,490613,2,3
590613,490613,3,5
590613,490613,4,4
292347,490613,1,2
292347,490613,2,5
292347,490613,3,1
292347,490613,4,2
810425,335834,1,5
810425,335834,2,3
810425,335834,3,2
810425,335834,4,5
441003,335834,1,1
441003,335834,2,1
441003,335834,3,1
441003,335834,4,1
802838,335834,1,5
802838,335834,2,1
802838,335834,3,1
802838,335834,4,1
631552,335834,1,2
631552,335834,2,1
631552,335834,3,3
631552,335834,4,3
698318,335834,1,2
698318,335834,2,4
698318,335834,3,3
698318,335834,4,4
803680,335834,1,5
803680,335834,2,1
803680,335834,3,2
803680,335834,4,5
652630,435815,1,2
652630,435815,2,3
652630,435815,3,3
652630,435815,4,5
241471,465834,1,3
241471,465834,2,1
241471,465834,3,3
241471,465834,4,3
710483,465834,1,3
710483,465834,2,1
710483,465834,3,5
710483,465834,4,3
508951,465834,1,4
508951,465834,2,4
508951,465834,3,2
508951,465834,4,3
670751,465834,1,3
670751,465834,2,2
670751,465834,3,3
670751,465834,4,1
469325,465834,1,3
469325,465834,2,3
469325,465834,3,2
469325,465834,4,1
440989,335820,1,4
440989,335820,2,3
440989,335820,3,3
440989,335820,4,3
802824,335820,1,4
802824,335820,2,3
802824,335820,3,4
802824,335820,4,4
631538,335820,1,3
631538,335820,2,4
631538,335820,3,4
631538,335820,4,4
698304,335820,1,3
698304,335820,2,4
698304,335820,3,4
698304,335820,4,3
803666,335820,1,4
803666,335820,2,4
803666,335820,3,3
803666,335820,4,3
652616,435801,1,4
652616,435801,2,4
652616,435801,3,4
652616,435801,4,4
241457,465820,1,3
241457,465820,2,4
241457,465820,3,4
241457,465820,4,4
710469,465820,1,3
710469,465820,2,3
710469,465820,3,4
710469,465820,4,4
508937,465820,1,3
508937,465820,2,4
508937,465820,3,4
508937,465820,4,4
670737,465820,1,3
670737,465820,2,3
670737,465820,3,4
670737,465820,4,3
469311,465820,1,4
469311,465820,2,3
469311,465820,3,3
469311,465820,4,3
440975,335806,1,4
440975,335806,2,4
440975,335806,3,4
440975,335806,4,3
802810,335806,1,3
802810,335806,2,4
802810,335806,3,4
802810,335806,4,3
631524,335806,1,3
631524,335806,2,4
631524,335806,3,4
631524,335806,4,3
698290,335806,1,3
698290,335806,2,4
698290,335806,3,4
698290,335806,4,4
803652,335806,1,3
803652,335806,2,3
803652,335806,3,4
803652,335806,4,4
652602,435787,1,4
652602,435787,2,4
652602,435787,3,4
652602,435787,4,3
241443,465806,1,2
241443,465806,2,2
241443,465806,3,3
241443,465806,4,3
710455,465806,1,4
710455,465806,2,1
710455,465806,3,1
710455,465806,4,2
508923,465806,1,5
508923,465806,2,1
508923,465806,3,2
508923,465806,4,3
670723,465806,1,1
670723,465806,2,3
670723,465806,3,2
670723,465806,4,1
469297,465806,1,3
469297,465806,2,2
469297,465806,3,2
469297,465806,4,1
440961,335792,1,2
440961,335792,2,3
440961,335792,3,3
440961,335792,4,4
802796,335792,1,2
802796,335792,2,1
802796,335792,3,1
802796,335792,4,1
631510,335792,1,1
631510,335792,2,1
631510,335792,3,2
631510,335792,4,2
